French,English
seulement,only
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
car,because
mettre,to put
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
matin,morning
enfant,child
suite,after
pardon,sorry
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
droit,law
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
fin,end
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
